t,AcX,AcY,AcZ,GyX,GyY,GyZ
0.001,-0.567,-0.074,-0.929,-2.649,-0.557,0.229
0.013,-0.568,-0.063,-0.932,-2.649,-0.29,1.206
0.064,-0.566,-0.063,-0.932,-2.954,-1.29,-1.611
0.116,-0.566,-0.069,-0.931,-2.855,-0.985,-0.237
0.168,-0.57,-0.063,-0.928,-2.87,-0.634,0.679
0.219,-0.576,-0.067,-0.933,-2.901,-1.351,-1.672
0.271,-0.564,-0.07,-0.927,-2.802,-0.42,0.405
0.322,-0.569,-0.062,-0.929,-2.748,-1.076,-0.664
0.374,-0.564,-0.065,-0.934,-2.595,-0.756,0.069
0.426,-0.564,-0.07,-0.935,-2.771,-1,-1.038
0.477,-0.554,-0.068,-0.928,-2.847,-0.931,-0.725
0.529,-0.566,-0.065,-0.928,-2.786,-0.939,-0.344
0.581,-0.57,-0.065,-0.934,-2.832,-0.611,0.053
0.632,-0.574,-0.058,-0.925,-2.786,-1.038,-0.511
0.684,-0.564,-0.062,-0.935,-2.885,-0.695,-0.183
0.736,-0.564,-0.065,-0.937,-2.58,-1.252,-0.962
0.788,-0.561,-0.071,-0.932,-2.71,-0.634,0.534
0.839,-0.568,-0.064,-0.929,-2.824,-1.122,-0.893
0.891,-0.564,-0.068,-0.931,-2.87,-0.947,-0.565
0.943,-0.563,-0.068,-0.933,-2.885,-0.756,-0.267
0.995,-0.572,-0.063,-0.937,-2.832,-0.947,-0.702
1.047,-0.569,-0.068,-0.93,-2.87,-0.519,-0.023
1.099,-0.568,-0.064,-0.931,-2.763,-0.855,-1.313
1.151,-0.571,-0.06,-0.94,-2.763,-0.725,0.802
1.202,-0.568,-0.064,-0.934,-2.733,-1.176,-1.137
1.254,-0.573,-0.068,-0.932,-2.824,-1.198,-1.366
1.306,-0.563,-0.074,-0.938,-2.756,-0.687,0.878
1.357,-0.57,-0.065,-0.929,-2.885,-1.008,-0.008
1.409,-0.566,-0.065,-0.933,-2.885,-1.458,-1.557
1.461,-0.571,-0.071,-0.932,-2.71,-0.771,-0.359
1.513,-0.572,-0.067,-0.933,-2.595,-0.847,0.344
1.564,-0.571,-0.069,-0.932,-2.679,-1.252,-0.794
1.615,-0.572,-0.067,-0.917,-2.695,-1.16,-0.756
1.668,-0.569,-0.067,-0.934,-2.855,-0.672,0.481
1.719,-0.571,-0.065,-0.931,-2.878,-0.794,-0.405
1.771,-0.571,-0.066,-0.933,-2.855,-1.206,-1.214
1.823,-0.565,-0.068,-0.937,-2.679,-0.901,-0.42
1.874,-0.568,-0.066,-0.928,-2.641,-0.649,0.511
1.926,-0.565,-0.058,-0.933,-2.84,-0.916,-1.053
1.978,-0.57,-0.068,-0.934,-2.588,-0.718,-0.466
2.03,-0.568,-0.067,-0.933,-2.985,-0.634,-0.061
2.081,-0.564,-0.063,-0.924,-2.901,-0.87,-0.74
2.134,-0.563,-0.067,-0.924,-2.893,-0.908,-0.565
2.186,-0.566,-0.073,-0.937,-2.702,-1.084,-0.26
2.238,-0.566,-0.069,-0.931,-2.817,-1.099,-1.031
2.29,-0.568,-0.066,-0.927,-2.695,-0.672,0.427
2.34,-0.568,-0.064,-0.935,-2.817,-0.985,-1.046
2.393,-0.571,-0.068,-0.932,-2.679,-0.969,-0.588
2.445,-0.572,-0.07,-0.936,-2.832,-0.748,-0.305
2.497,-0.562,-0.064,-0.934,-2.702,-0.939,-0.466
2.548,-0.569,-0.063,-0.933,-2.611,-1.176,-0.702
2.6,-0.567,-0.069,-0.941,-2.779,-0.947,-0.473
2.653,-0.571,-0.071,-0.934,-2.733,-0.947,-0.443
2.705,-0.569,-0.059,-0.932,-2.802,-0.603,0.634
2.756,-0.576,-0.063,-0.929,-3.053,-1.664,-4.473
2.807,-0.567,-0.078,-0.945,-2.817,-0.16,0.282
2.859,-0.565,-0.07,-0.931,-2.595,-0.321,2.901
2.91,-0.585,-0.046,-0.927,-3.092,-1.122,-1.099
2.962,-0.572,-0.069,-0.942,-2.87,-0.45,-1.649
3.013,-0.554,-0.076,-0.933,-2.947,-2.359,-3.58
3.065,-0.577,-0.071,-0.93,-2.756,-0.229,2.931
3.117,-0.572,-0.06,-0.928,-2.954,-0.893,-0.145
3.169,-0.563,-0.06,-0.942,-2.71,-1.328,-1.221
3.221,-0.566,-0.069,-0.939,-2.664,-1.435,-1.504
3.272,-0.57,-0.066,-0.928,-2.649,-0.84,-0.046
