t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
0.326,-0.0156,0.0352,0.1914,3,0.3054,0.7829,0.4867,-0.2385,0,3.1416,
0.336,-0.0156,0.0352,0.1914,3,0.3066,0.7824,0.4865,-0.2393,2,0.5002,
0.347,-0.0156,0.0352,0.1914,3,0.3072,0.7822,0.4861,-0.2397,2,0.4346,
0.358,-0.0156,0.0352,0.1914,3,0.3077,0.7820,0.4859,-0.2401,2,0.3899,
0.370,-0.1602,-0.0898,-0.0898,3,0.3077,0.7820,0.4859,-0.2401,2,0.3899,
0.380,-0.1602,-0.0898,-0.0898,3,0.3087,0.7817,0.4855,-0.2404,2,0.3198,
0.392,-0.1602,-0.0898,-0.0898,3,0.3091,0.7817,0.4854,-0.2405,2,0.3010,
0.403,-0.1602,-0.0898,-0.0898,3,0.3096,0.7817,0.4850,-0.2405,2,0.2849,
0.413,0.0898,-0.0859,-0.0469,3,0.3096,0.7817,0.4850,-0.2405,2,0.2849,
0.424,0.2695,0.0664,-0.0664,3,0.3096,0.7817,0.4850,-0.2405,2,0.2849,
0.436,0.2695,0.0664,-0.0664,3,0.3112,0.7819,0.4833,-0.2413,2,0.2446,
0.446,0.2695,0.0664,-0.0664,3,0.3114,0.7819,0.4832,-0.2413,2,0.2446,
0.457,0.2695,0.0664,-0.0664,3,0.3115,0.7819,0.4831,-0.2413,2,0.2446,
0.467,0.2695,0.0664,-0.0664,3,0.3116,0.7820,0.4829,-0.2413,2,0.2446,
0.479,0.2695,0.0664,-0.0664,3,0.3119,0.7820,0.4828,-0.2413,2,0.2446,
0.490,-0.0273,-0.0156,-0.0781,3,0.3119,0.7820,0.4828,-0.2413,2,0.2446,
0.500,-0.0273,-0.0156,-0.0781,3,0.3121,0.7820,0.4827,-0.2410,2,0.2402,
0.512,-0.0273,-0.0156,-0.0781,3,0.3120,0.7824,0.4821,-0.2411,2,0.2322,
0.523,-0.0273,-0.0156,-0.0781,3,0.3117,0.7828,0.4814,-0.2413,2,0.2246,
0.533,-0.0273,-0.0156,-0.0781,3,0.3115,0.7833,0.4805,-0.2418,2,0.2178,
0.545,-0.1016,-0.0234,0.1641,3,0.3115,0.7833,0.4805,-0.2418,2,0.2178,
0.556,-0.1016,-0.0234,0.1641,3,0.3110,0.7844,0.4786,-0.2426,2,0.2034,
0.567,-0.1016,-0.0234,0.1641,3,0.3109,0.7848,0.4780,-0.2429,2,0.1982,
0.578,-0.1016,-0.0234,0.1641,3,0.3108,0.7851,0.4774,-0.2430,2,0.1936,
0.589,0.1055,-0.0664,0.0547,3,0.3108,0.7851,0.4774,-0.2430,2,0.1936,
0.601,0.1055,-0.0664,0.0547,3,0.3105,0.7858,0.4763,-0.2435,2,0.1831,
0.611,0.1055,-0.0664,0.0547,3,0.3104,0.7860,0.4761,-0.2434,2,0.1794,
0.622,0.1055,-0.0664,0.0547,3,0.3103,0.7861,0.4760,-0.2434,2,0.1760,
0.633,0.1055,-0.0664,0.0547,3,0.3103,0.7861,0.4759,-0.2433,2,0.1729,
0.645,-0.0352,-0.0313,-0.0703,3,0.3103,0.7861,0.4759,-0.2433,2,0.1729,
0.656,-0.0352,-0.0313,-0.0703,3,0.3100,0.7866,0.4752,-0.2437,2,0.1653,
0.666,-0.0352,-0.0313,-0.0703,3,0.3098,0.7869,0.4749,-0.2437,2,0.1626,
0.676,-0.0352,-0.0313,-0.0703,3,0.3096,0.7870,0.4746,-0.2438,2,0.1602,
0.688,-0.0352,-0.0313,-0.0703,3,0.3094,0.7872,0.4743,-0.2440,2,0.1577,
0.700,0.0781,0.0078,-0.0117,3,0.3094,0.7872,0.4743,-0.2440,2,0.1577,
0.710,0.0781,0.0078,-0.0117,3,0.3090,0.7878,0.4732,-0.2447,2,0.1521,
0.720,0.0781,0.0078,-0.0117,3,0.3088,0.7880,0.4730,-0.2448,2,0.1499,
0.732,0.0781,0.0078,-0.0117,3,0.3087,0.7881,0.4729,-0.2449,2,0.1479,
0.743,0.0781,0.0078,-0.0117,3,0.3085,0.7883,0.4727,-0.2451,2,0.1460,
0.753,-0.0664,-0.0234,-0.0313,3,0.3085,0.7883,0.4727,-0.2451,2,0.1460,
0.764,0.0586,0.0664,-0.1602,3,0.3085,0.7883,0.4727,-0.2451,2,0.1460,
0.776,0.0586,0.0664,-0.1602,3,0.3082,0.7888,0.4717,-0.2458,2,0.1399,
0.786,0.0586,0.0664,-0.1602,3,0.3080,0.7889,0.4714,-0.2461,3,0.1384,
0.797,0.0586,0.0664,-0.1602,3,0.3078,0.7890,0.4713,-0.2462,3,0.1367,
0.807,0.0586,0.0664,-0.1602,3,0.3076,0.7891,0.4711,-0.2463,3,0.1353,
0.820,0.0117,0.0430,0.2109,3,0.3076,0.7891,0.4711,-0.2463,3,0.1353,
0.830,0.0117,0.0430,0.2109,3,0.3068,0.7894,0.4712,-0.2465,3,0.1318,
0.841,0.0117,0.0430,0.2109,3,0.3065,0.7895,0.4711,-0.2467,3,0.1304,
0.851,0.0117,0.0430,0.2109,3,0.3063,0.7896,0.4709,-0.2469,3,0.1292,
0.862,0.0117,0.0430,0.2109,3,0.3060,0.7897,0.4709,-0.2470,3,0.1279,
0.873,0.0117,0.0430,0.2109,3,0.3059,0.7897,0.4708,-0.2472,3,0.1267,
0.884,0.0586,0.0742,0.0664,3,0.3059,0.7897,0.4708,-0.2472,3,0.1267,
0.896,0.0586,0.0742,0.0664,3,0.3057,0.7897,0.4707,-0.2477,3,0.1240,
0.906,0.0586,0.0742,0.0664,3,0.3056,0.7897,0.4707,-0.2479,3,0.1228,
0.916,0.0586,0.0742,0.0664,3,0.3054,0.7897,0.4706,-0.2482,3,0.1218,
0.926,0.0586,0.0742,0.0664,3,0.3052,0.7898,0.4704,-0.2485,3,0.1208,
0.937,0.0586,0.0742,0.0664,3,0.3051,0.7899,0.4703,-0.2487,3,0.1199,
0.949,-0.0547,-0.0352,0.0273,3,0.3051,0.7899,0.4703,-0.2487,3,0.1199,
0.960,-0.0547,-0.0352,0.0273,3,0.3046,0.7900,0.4704,-0.2487,3,0.1174,
0.970,-0.0547,-0.0352,0.0273,3,0.3044,0.7900,0.4705,-0.2487,3,0.1167,
0.980,-0.0547,-0.0352,0.0273,3,0.3042,0.7900,0.4705,-0.2488,3,0.1157,
0.992,-0.0547,-0.0352,0.0273,3,0.3040,0.7900,0.4706,-0.2488,3,0.1147,
1.002,-0.0547,-0.0352,0.0273,3,0.3038,0.7901,0.4706,-0.2490,3,0.1140,
1.014,-0.0938,-0.0195,0.1172,3,0.3038,0.7901,0.4706,-0.2490,3,0.1140,
1.025,-0.0938,-0.0195,0.1172,3,0.3034,0.7902,0.4704,-0.2494,3,0.1121,
1.036,-0.0938,-0.0195,0.1172,3,0.3033,0.7903,0.4702,-0.2496,3,0.1113,
1.046,-0.0938,-0.0195,0.1172,3,0.3032,0.7903,0.4700,-0.2499,3,0.1106,
1.056,-0.0938,-0.0195,0.1172,3,0.3032,0.7903,0.4701,-0.2499,3,0.1099,
1.068,-0.0938,-0.0195,0.1172,3,0.3030,0.7903,0.4702,-0.2500,3,0.1091,
1.079,-0.1914,0.0234,-0.1133,3,0.3030,0.7903,0.4702,-0.2500,3,0.1091,
1.089,-0.1914,0.0234,-0.1133,3,0.3027,0.7905,0.4702,-0.2498,3,0.1074,
1.100,-0.1914,0.0234,-0.1133,3,0.3026,0.7905,0.4702,-0.2498,3,0.1067,
1.111,-0.1914,0.0234,-0.1133,3,0.3026,0.7906,0.4700,-0.2499,3,0.1062,
1.122,-0.1914,0.0234,-0.1133,3,0.3026,0.7905,0.4701,-0.2500,3,0.1055,
1.133,-0.1914,0.0234,-0.1133,3,0.3026,0.7905,0.4703,-0.2499,3,0.1050,
1.143,-0.1680,-0.0703,-0.0195,3,0.3026,0.7905,0.4703,-0.2499,3,0.1050,
1.155,-0.1680,-0.0703,-0.0195,3,0.3024,0.7904,0.4705,-0.2497,3,0.1035,
1.165,-0.1680,-0.0703,-0.0195,3,0.3024,0.7905,0.4705,-0.2496,3,0.1028,
1.176,-0.1680,-0.0703,-0.0195,3,0.3024,0.7905,0.4704,-0.2496,3,0.1023,
1.186,-0.1680,-0.0703,-0.0195,3,0.3024,0.7906,0.4702,-0.2497,3,0.1018,
1.198,-0.1680,-0.0703,-0.0195,3,0.3024,0.7907,0.4700,-0.2498,3,0.1013,
1.209,0.1016,0.0742,0.2070,3,0.3024,0.7907,0.4700,-0.2498,3,0.1013,
1.219,0.1016,0.0742,0.2070,3,0.3021,0.7908,0.4699,-0.2499,3,0.1001,
1.230,0.1016,0.0742,0.2070,3,0.3021,0.7908,0.4699,-0.2500,3,0.0996,
1.241,0.1016,0.0742,0.2070,3,0.3020,0.7908,0.4700,-0.2500,3,0.0991,
1.251,0.1016,0.0742,0.2070,3,0.3019,0.7908,0.4702,-0.2499,3,0.0986,
1.261,0.1016,0.0742,0.2070,3,0.3019,0.7908,0.4702,-0.2499,3,0.0981,
1.272,0.1016,0.0742,0.2070,3,0.3018,0.7908,0.4703,-0.2499,3,0.0977,
1.283,0.0313,-0.0586,-0.1406,3,0.3018,0.7908,0.4703,-0.2499,3,0.0977,
