t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
0.348,-0.0859,0.0117,-0.1328,3,0.1959,0.9037,0.1523,-0.3489,1,0.8645,
0.360,-0.1289,-0.0273,-0.0508,3,0.1959,0.9037,0.1523,-0.3489,1,0.8645,
0.370,-0.1289,-0.0273,-0.0508,3,0.1957,0.9036,0.1525,-0.3492,1,0.8645,
0.381,-0.1289,-0.0273,-0.0508,3,0.1957,0.9035,0.1525,-0.3495,1,0.8645,
0.392,-0.1289,-0.0273,-0.0508,3,0.1956,0.9034,0.1526,-0.3497,1,0.8645,
0.403,-0.1289,-0.0273,-0.0508,3,0.1955,0.9034,0.1526,-0.3497,1,0.8645,
0.414,0.0430,-0.1289,-0.0547,3,0.1955,0.9034,0.1526,-0.3497,1,0.8645,
0.424,0.1289,-0.0469,0.0078,3,0.1955,0.9034,0.1526,-0.3497,1,0.8645,
0.436,0.1289,-0.0469,0.0078,3,0.1948,0.9037,0.1528,-0.3495,1,0.8645,
0.446,0.1289,-0.0469,0.0078,3,0.1945,0.9037,0.1527,-0.3495,1,0.8645,
0.457,0.1289,-0.0469,0.0078,3,0.1942,0.9038,0.1526,-0.3495,1,0.8645,
0.467,0.1289,-0.0469,0.0078,3,0.1932,0.9041,0.1515,-0.3498,1,0.7908,
0.479,0.1289,-0.0469,0.0078,3,0.1919,0.9045,0.1498,-0.3500,1,0.6873,
0.490,-0.1406,-0.0156,0.0352,3,0.1919,0.9045,0.1498,-0.3500,1,0.6873,
0.500,-0.1406,-0.0156,0.0352,3,0.1902,0.9050,0.1487,-0.3501,1,0.6165,
0.512,-0.1406,-0.0156,0.0352,3,0.1899,0.9051,0.1488,-0.3501,1,0.6165,
0.522,-0.1406,-0.0156,0.0352,3,0.1898,0.9052,0.1488,-0.3501,1,0.6165,
0.533,-0.1406,-0.0156,0.0352,3,0.1896,0.9052,0.1489,-0.3500,1,0.6165,
0.545,-0.0352,0.0078,0.0625,3,0.1896,0.9052,0.1489,-0.3500,1,0.6165,
0.556,-0.0352,0.0078,0.0625,3,0.1895,0.9053,0.1490,-0.3497,1,0.6165,
0.566,-0.0352,0.0078,0.0625,3,0.1896,0.9052,0.1489,-0.3499,1,0.6165,
0.577,-0.0352,0.0078,0.0625,3,0.1897,0.9052,0.1489,-0.3500,1,0.6165,
0.588,-0.0352,0.0078,0.0625,3,0.1897,0.9052,0.1487,-0.3501,1,0.6165,
0.600,-0.0078,0.0664,0.1328,3,0.1897,0.9052,0.1487,-0.3501,1,0.6165,
0.611,-0.0078,0.0664,0.1328,3,0.1880,0.9058,0.1454,-0.3509,1,0.5293,
0.621,-0.0078,0.0664,0.1328,3,0.1879,0.9058,0.1456,-0.3509,1,0.5293,
0.631,-0.0078,0.0664,0.1328,3,0.1879,0.9057,0.1457,-0.3509,1,0.5293,
0.642,-0.0078,0.0664,0.1328,3,0.1879,0.9057,0.1458,-0.3510,1,0.5293,
0.653,-0.0078,0.0664,0.1328,3,0.1880,0.9056,0.1458,-0.3511,1,0.5293,
0.665,-0.0469,-0.0547,0.1016,3,0.1880,0.9056,0.1458,-0.3511,1,0.5293,
0.675,-0.0469,-0.0547,0.1016,3,0.1885,0.9054,0.1455,-0.3516,1,0.5295,
