t,AcX,AcY,AcZ,
0.923,0.000,0.000,-0.008,
1.024,0.000,0.000,-0.008,
1.123,0.000,0.000,0.000,
1.223,0.000,0.000,0.000,
1.323,0.000,0.000,0.000,
1.423,0.000,0.000,0.000,
1.522,0.000,0.000,0.000,
1.623,0.000,0.000,0.000,
1.722,0.000,0.008,0.000,
1.821,0.000,0.008,0.000,
1.922,0.000,0.000,0.035,
2.021,0.035,0.000,-0.008,
2.121,-0.008,0.000,-0.016,
2.222,-0.008,0.000,-0.008,
2.321,0.027,0.000,-0.008,
2.421,-0.016,0.000,0.000,
2.521,-0.016,0.000,0.000,
2.620,-0.008,0.000,0.000,
2.720,-0.008,0.008,-0.008,
2.821,0.000,0.008,-0.008,
2.920,0.027,0.000,-0.008,
3.020,0.020,0.000,-0.008,
3.120,-0.023,0.000,0.000,
3.220,-0.023,0.000,0.000,
3.319,-0.016,0.000,0.000,
3.419,-0.008,0.000,0.000,
3.520,0.027,0.000,0.000,
3.619,0.020,0.000,0.000,
3.719,-0.023,0.000,0.000,
3.819,-0.016,0.000,0.000,
3.918,-0.008,0.000,0.000,
4.019,-0.008,0.008,0.000,
4.118,0.000,0.008,0.000,
4.217,0.027,0.000,0.000,
4.318,-0.008,0.000,0.035,
4.418,-0.008,0.000,-0.008,
4.517,-0.008,0.000,-0.008,
4.618,0.000,0.000,-0.008,
4.717,0.000,0.000,0.000,
4.816,0.000,0.000,0.000,
4.917,0.000,0.000,0.000,
5.017,-0.133,-0.043,0.000,
5.116,0.000,0.000,0.000,
5.316,0.305,-0.035,0.000,
5.416,0.219,0.070,0.000,
5.516,-0.016,-0.082,0.035,
5.616,0.098,0.063,0.000,
5.715,-0.109,0.070,0.035,
5.816,0.004,-0.043,0.000,
5.915,0.234,-0.008,0.000,
6.014,0.227,-0.016,0.000,
6.115,-0.047,0.102,0.000,
6.215,-0.324,-0.051,0.000,
6.315,-0.094,-0.098,0.000,
6.415,0.258,-0.129,0.000,
6.514,0.105,0.055,0.000,
6.615,-0.047,0.094,0.000,
6.714,0.020,-0.023,0.035,
6.814,-0.051,0.039,-0.008,
6.914,-0.195,-0.121,-0.008,
7.014,-0.188,0.031,-0.008,
7.113,0.234,-0.082,-0.008,
7.214,0.203,-0.121,0.027,
7.313,0.203,0.031,-0.008,
7.412,-0.219,0.176,-0.008,
7.513,-0.188,0.070,-0.008,
7.614,0.012,-0.047,-0.008,
7.712,0.156,-0.008,-0.008,
7.812,-0.070,-0.039,-0.008,
7.912,0.082,-0.039,-0.008,
8.011,0.082,0.000,-0.008,
8.112,-0.043,0.008,0.027,
8.211,-0.234,0.000,-0.008,
8.312,-0.117,0.039,-0.008,
8.412,0.266,-0.031,0.027,
8.511,0.035,0.055,0.027,
8.611,-0.078,-0.023,-0.008,
8.711,0.113,-0.066,-0.008,
8.810,0.027,-0.059,-0.008,
8.910,-0.020,0.016,0.027,
9.011,0.020,0.055,-0.008,
9.110,0.211,-0.016,-0.008,
9.209,-0.094,-0.016,-0.008,
9.310,-0.211,0.016,-0.008,
9.410,0.098,0.023,0.027,
9.509,0.090,0.016,0.035,
9.610,0.098,0.016,0.020,
9.709,0.066,0.008,-0.023,
9.809,0.043,0.008,-0.023,
9.910,0.027,0.008,0.012,
10.009,0.020,0.000,-0.023,
10.109,0.012,0.000,0.012,
10.209,0.047,0.000,0.004,
10.308,0.004,0.008,0.004,
10.408,0.039,0.008,0.004,
10.508,0.039,0.008,-0.004,
10.608,0.031,0.008,-0.004,
10.707,0.023,0.000,-0.004,
10.808,0.016,0.000,-0.004,
10.907,0.008,0.000,-0.039,
11.008,0.008,0.000,0.004,
11.107,0.000,0.008,0.004,
11.207,0.000,0.008,-0.004,
11.307,-0.035,0.008,-0.004,
11.407,-0.027,0.008,-0.004,
11.506,-0.020,0.008,-0.004,
11.607,-0.012,0.000,-0.004,
11.707,0.004,0.008,-0.039,
11.805,0.004,0.008,0.004,
11.906,0.012,0.008,0.004,
12.007,0.012,0.008,0.004,
12.105,0.012,0.008,-0.031,
12.206,0.012,0.008,0.004,
12.306,0.004,0.008,0.004,
12.405,0.004,0.008,0.004,
12.505,0.039,0.000,-0.004,
12.604,-0.004,0.000,-0.004,
12.705,-0.004,0.000,-0.004,
12.805,-0.004,0.000,-0.004,
12.904,0.004,0.008,-0.004,
13.004,0.004,0.008,-0.004,
13.105,0.004,0.008,0.004,
13.203,0.004,0.008,-0.031,
13.303,0.004,0.008,0.012,
13.404,0.004,0.008,0.004,
13.503,0.004,0.000,0.004,
13.603,0.004,0.000,0.004,
13.703,0.039,0.000,0.004,
13.803,-0.004,0.000,0.004,
13.902,0.031,0.000,0.004,
14.003,-0.012,0.000,-0.039,
14.103,-0.012,0.000,0.004,
14.202,0.023,0.000,-0.031,
14.302,0.016,0.000,0.012,
14.402,0.008,0.000,0.004,
14.501,0.008,0.008,0.004,
14.602,0.000,0.008,-0.004,
14.702,0.000,0.008,-0.004,
14.801,0.000,0.008,-0.004,
14.901,0.000,0.000,-0.039,
15.001,0.000,0.000,0.004,
15.100,0.000,0.000,-0.031,
15.201,0.000,0.000,0.004,
15.301,0.000,0.000,0.004,
15.399,0.000,0.000,0.004,
15.501,0.000,0.000,-0.004,
15.600,0.000,0.008,-0.004,
15.699,0.000,0.008,-0.004,
15.800,0.000,0.008,-0.004,
15.900,0.000,0.008,-0.004,
16.000,0.000,0.008,-0.004,
