t,AcX,AcY,AcZ,
1.423,0.008,0.000,0.000,
1.523,0.008,0.000,0.000,
1.623,0.000,0.000,0.000,
1.723,0.000,0.000,0.000,
1.822,-0.039,0.000,0.000,
1.923,0.008,0.000,0.000,
2.023,0.008,0.000,0.000,
2.122,0.008,0.000,0.000,
2.223,0.008,0.000,0.000,
2.322,0.008,0.000,0.000,
2.421,0.008,0.000,0.000,
2.521,0.008,0.000,0.000,
2.621,0.000,0.000,0.000,
2.721,0.000,0.000,0.000,
2.822,0.000,0.000,0.000,
2.921,0.000,0.008,0.000,
3.020,0.000,0.008,0.000,
3.121,0.000,0.000,0.000,
3.221,-0.031,0.000,0.000,
3.320,0.016,0.000,0.000,
3.420,0.000,0.000,0.000,
3.520,0.008,0.000,0.000,
3.619,0.008,0.000,0.000,
3.720,0.000,0.000,0.000,
3.819,0.000,0.000,0.000,
3.920,0.000,0.000,0.000,
4.019,0.000,0.000,0.000,
4.119,0.000,0.000,0.000,
4.218,0.000,0.000,-0.039,
4.319,0.000,0.000,0.008,
4.418,0.000,0.000,0.008,
4.518,0.000,0.000,0.008,
4.618,0.000,0.000,0.000,
4.718,0.000,0.000,0.000,
4.817,0.000,0.000,0.000,
4.918,-0.039,0.000,0.000,
5.018,-0.031,0.000,0.000,
5.117,0.016,0.000,-0.039,
5.217,0.008,-0.008,0.008,
5.317,0.008,-0.008,0.008,
5.417,0.008,-0.008,0.008,
5.517,0.000,0.000,0.000,
5.616,0.000,0.008,0.000,
5.716,0.000,0.000,0.000,
5.816,0.000,0.000,0.000,
5.916,0.000,0.000,0.000,
6.016,0.000,0.000,0.000,
6.116,0.000,0.000,0.000,
6.215,0.000,0.000,0.000,
6.316,0.000,0.000,0.000,
6.415,0.000,0.000,0.000,
6.515,0.000,0.000,0.000,
6.615,0.000,0.000,0.000,
6.715,0.000,0.000,0.000,
6.815,0.000,0.000,0.000,
6.915,0.000,0.000,0.000,
7.014,0.000,0.000,0.000,
7.114,0.000,-0.008,0.000,
7.214,-0.039,-0.008,0.000,
7.314,-0.016,0.000,0.000,
7.414,-0.016,0.000,0.000,
7.514,-0.008,0.000,0.000,
7.614,0.000,0.000,-0.039,
7.713,0.000,0.000,0.008,
7.813,0.152,-0.035,0.008,
7.913,0.078,0.039,0.008,
8.013,0.117,0.000,0.008,
8.113,0.070,0.000,-0.031,
8.212,0.051,0.031,0.000,
8.313,0.215,0.039,0.000,
8.412,0.016,0.000,0.000,
8.512,0.121,-0.035,0.000,
8.611,0.051,0.000,0.000,
8.712,0.000,0.000,0.000,
8.812,0.121,-0.035,0.000,
8.911,0.113,0.000,0.000,
9.011,0.145,-0.035,0.000,
9.111,0.105,-0.043,0.000,
9.211,0.066,-0.043,0.000,
9.311,0.098,0.000,-0.039,
9.410,0.020,-0.043,-0.039,
9.510,0.160,0.000,0.000,
9.610,0.082,-0.035,0.035,
9.710,0.121,-0.035,0.000,
9.809,-0.031,0.117,-0.039,
9.910,0.074,-0.074,0.000,
10.009,0.035,0.070,0.000,
10.109,0.113,0.031,0.000,
10.210,0.137,-0.090,0.000,
10.309,0.020,-0.008,-0.039,
10.408,-0.055,-0.051,0.000,
10.509,0.129,-0.016,0.000,
10.608,0.320,-0.313,0.000,
10.708,-0.211,-0.074,-0.039,
10.809,-0.219,0.223,0.000,
10.908,0.043,0.070,0.000,
11.009,0.313,-0.082,0.000,
11.108,0.035,0.141,0.008,
11.208,-0.070,-0.082,0.008,
11.308,0.082,-0.043,0.008,
11.408,0.313,-0.043,0.008,
11.507,-0.109,0.293,-0.031,
11.607,-0.645,0.102,0.008,
11.707,-0.043,-0.145,0.008,
11.807,-0.188,0.125,0.008,
11.907,0.195,-0.023,0.008,
12.007,0.148,-0.137,0.008,
12.106,0.004,0.063,0.008,
12.207,-0.035,-0.168,0.008,
12.306,-0.043,0.031,-0.031,
12.405,0.188,-0.043,0.008,
12.506,0.035,0.031,0.008,
12.605,-0.004,-0.051,0.008,
12.706,-0.316,0.148,0.008,
12.806,0.141,-0.098,0.008,
12.905,-0.012,-0.098,0.008,
13.004,-0.156,0.055,0.008,
13.105,0.105,-0.023,0.008,
13.204,0.180,0.094,0.008,
13.304,0.066,0.023,0.008,
13.406,-0.012,-0.016,0.008,
13.504,-0.051,0.102,0.008,
13.604,0.105,-0.016,-0.031,
13.704,0.059,0.063,0.008,
13.804,-0.094,0.070,-0.031,
13.903,-0.027,-0.074,0.008,
14.004,-0.059,0.078,0.008,
14.103,0.020,0.000,0.008,
14.203,-0.102,0.063,-0.031,
14.303,-0.102,-0.016,0.008,
14.402,-0.102,-0.016,0.008,
14.502,-0.246,0.023,0.016,
14.603,0.066,-0.016,0.008,
14.702,0.219,-0.059,0.008,
14.802,0.027,-0.016,0.008,
14.902,-0.008,0.016,0.008,
15.002,-0.047,-0.023,0.008,
15.101,-0.070,-0.016,0.000,
15.202,-0.047,0.023,0.000,
15.301,-0.031,-0.016,0.000,
15.401,-0.016,0.016,0.000,
15.501,-0.008,-0.023,0.000,
15.601,-0.008,0.023,0.000,
15.700,-0.008,0.016,0.000,
15.801,-0.008,-0.023,0.000,
15.900,-0.008,-0.023,0.000,
16.001,-0.008,0.023,0.000,
16.101,-0.008,0.016,0.000,
16.200,0.008,0.008,0.000,
16.300,0.008,0.008,0.000,
16.400,0.008,0.008,0.000,
16.499,0.008,0.000,0.000,
16.600,0.008,-0.039,0.000,
16.699,0.008,0.000,0.000,
16.799,0.008,0.008,0.000,
16.900,0.008,0.000,0.000,
16.999,0.000,0.000,0.000,
17.099,0.000,0.000,0.000,
17.199,0.000,0.000,0.000,
17.298,0.000,0.000,0.000,
17.397,0.000,0.000,0.000,
17.498,0.000,0.000,0.000,
17.597,0.000,0.000,0.000,
17.697,0.000,0.008,0.000,
17.799,0.000,0.008,0.000,
17.897,0.000,0.000,0.000,
17.997,0.000,0.000,0.000,
18.097,0.000,-0.008,0.000,
18.197,0.000,-0.008,0.000,
18.297,0.000,-0.008,0.000,
18.397,0.000,-0.008,0.000,
18.498,0.000,0.000,0.000,
18.596,0.000,0.000,0.000,
18.697,0.000,0.000,0.000,
18.796,0.000,-0.008,0.000,
18.895,0.000,-0.008,0.000,
18.996,0.000,0.000,0.000,
19.096,-0.039,0.000,0.000,
19.195,-0.031,0.000,0.000,
19.296,-0.016,0.000,0.000,
19.395,0.031,0.000,0.000,
19.495,0.023,0.000,0.000,
19.594,-0.016,0.000,0.000,
19.694,-0.016,0.000,0.000,
19.794,0.023,0.000,-0.008,
19.894,0.016,0.000,-0.008,
19.993,-0.023,0.000,-0.008,
20.093,0.023,0.000,0.000,
20.194,0.016,0.000,0.000,
20.293,0.055,0.000,0.000,
20.393,0.000,0.000,0.000,
20.494,0.000,0.000,0.000,
20.593,0.000,0.000,0.000,
20.692,-0.008,0.000,0.035,
20.793,-0.008,0.000,-0.008,
20.892,-0.008,0.000,-0.008,
20.993,0.000,0.000,-0.008,
21.092,0.000,0.000,0.000,
21.191,0.000,0.000,0.000,
21.293,0.000,0.000,0.000,
21.392,-0.008,0.000,0.000,
21.491,-0.008,0.000,0.000,
21.592,-0.008,0.000,0.000,
21.691,0.000,0.000,0.000,
21.791,0.000,0.000,0.000,
21.892,0.000,0.000,-0.008,
21.991,0.000,0.000,-0.008,
22.091,0.000,0.000,-0.008,
22.192,0.008,0.000,0.000,
22.290,0.008,0.000,0.000,
22.390,0.000,0.000,0.000,
22.490,0.000,0.000,0.000,
22.590,0.000,0.000,0.000,
22.689,0.000,0.000,0.000,
22.790,0.000,0.000,0.000,
22.890,0.000,0.000,0.000,
22.989,0.000,0.000,0.000,
23.089,0.000,0.000,0.000,
23.189,0.000,0.000,0.000,
23.289,0.000,0.000,0.000,
23.389,0.000,0.000,0.035,
23.488,0.000,0.000,-0.008,
23.588,0.000,0.000,0.027,
23.688,0.000,0.000,-0.016,
23.788,0.000,0.000,-0.008,
23.887,0.000,0.000,-0.008,
23.988,-0.008,0.008,0.000,
24.087,-0.008,0.008,0.000,
24.187,-0.008,0.008,0.027,
24.287,0.000,0.000,0.020,
24.387,0.000,0.000,-0.023,
24.486,0.000,0.000,0.012,
24.587,0.000,0.000,0.012,
24.686,0.000,0.000,-0.023,
24.786,0.000,0.000,-0.023,
24.886,0.039,0.000,-0.023,
24.986,0.039,0.008,0.020,
25.085,0.016,0.000,-0.023,
25.185,0.008,0.000,0.012,
25.285,0.008,0.000,0.012,
25.385,-0.031,0.000,-0.031,
25.485,-0.023,-0.008,-0.023,
25.584,-0.008,0.000,0.020,
25.684,0.000,0.000,-0.016,
25.785,0.000,0.000,-0.008,
25.885,0.000,0.000,-0.008,
25.985,0.000,0.000,-0.008,
26.084,0.000,0.000,0.027,
26.184,0.000,0.000,-0.016,
26.285,0.000,0.000,-0.016,
26.384,0.000,0.000,-0.016,
26.483,0.000,0.000,-0.008,
26.584,0.000,0.000,-0.008,
26.683,0.000,0.000,0.000,
26.783,0.000,0.000,0.000,
26.884,0.000,0.000,0.000,
26.983,0.000,-0.008,0.035,
27.082,0.000,-0.008,-0.008,
27.183,0.000,0.000,-0.008,
27.283,0.000,0.000,-0.008,
27.382,0.008,0.000,0.000,
27.482,0.000,0.000,0.000,
27.582,0.000,0.000,0.000,
27.681,0.008,0.000,0.000,
27.782,0.000,0.000,0.000,
27.881,0.000,0.000,0.035,
27.981,0.000,0.000,-0.008,
28.082,0.000,0.000,-0.008,
28.181,0.000,0.000,-0.008,
28.280,0.000,0.000,0.000,
28.381,0.000,0.000,0.000,
28.480,0.000,0.000,0.000,
28.580,0.000,0.000,0.000,
28.681,0.000,0.000,0.000,
28.779,0.000,0.008,0.000,
28.880,0.008,0.008,0.000,
28.980,0.008,0.008,0.000,
29.080,0.000,0.000,0.000,
29.179,0.000,0.000,0.000,
29.279,0.000,0.000,0.000,
29.379,0.000,0.000,0.000,
29.478,0.000,0.000,-0.008,
29.579,0.000,0.000,-0.008,
29.678,0.000,0.000,-0.008,
29.778,0.000,0.000,0.000,
29.878,0.000,0.000,0.000,
29.977,0.000,0.000,0.000,
30.077,0.000,0.000,0.000,
30.178,0.000,0.000,0.000,
30.277,0.000,0.000,0.000,
30.377,0.000,0.000,0.000,
30.478,0.000,0.000,0.000,
30.577,0.000,0.000,0.000,
30.678,-0.039,0.000,0.000,
30.777,-0.031,0.000,0.000,
30.877,0.016,0.000,0.000,
30.977,-0.023,0.000,0.000,
31.076,-0.016,0.000,0.000,
31.175,-0.016,0.000,0.000,
31.276,-0.016,0.000,0.000,
31.376,-0.008,0.000,0.000,
31.475,0.063,-0.043,0.000,
31.576,0.039,0.008,-0.039,
31.676,0.051,-0.035,-0.031,
31.775,0.027,-0.035,0.016,
31.875,0.012,0.008,-0.016,
31.974,0.012,0.000,-0.008,
32.074,-0.031,0.000,0.023,
32.175,0.043,0.000,0.023,
32.274,-0.031,0.000,0.023,
32.375,0.004,0.039,0.023,
32.474,0.242,-0.184,0.023,
32.573,-0.023,0.125,0.023,
32.673,-0.063,-0.074,0.016,
32.774,0.012,0.008,-0.023,
32.873,-0.180,-0.027,0.016,
32.973,0.129,-0.105,0.016,
33.073,0.051,0.031,-0.023,
33.172,-0.055,0.070,0.016,
33.272,-0.055,-0.082,0.016,
33.373,0.250,-0.043,0.016,
33.472,0.289,-0.051,0.016,
33.572,-0.207,0.055,-0.023,
33.672,0.098,-0.098,0.016,
33.772,0.020,-0.098,-0.023,
33.871,-0.086,0.238,0.016,
33.972,-0.047,-0.145,-0.023,
34.071,-0.047,0.125,0.016,
34.171,-0.270,-0.039,-0.023,
34.271,-0.156,-0.113,-0.023,
34.370,0.273,0.047,0.016,
34.470,0.418,0.000,0.016,
34.571,0.535,-0.066,0.016,
34.670,-0.270,0.316,0.016,
34.770,-0.008,-0.375,0.016,
34.870,0.211,0.094,-0.023,
34.969,0.250,0.285,-0.023,
35.069,-0.063,0.055,0.016,
35.170,0.043,-0.289,0.016,
35.269,-0.031,0.008,0.016,
35.368,0.188,-0.031,0.016,
35.469,-0.309,0.000,-0.023,
35.569,-0.004,-0.375,0.016,
35.670,-0.004,0.000,-0.031,
35.768,0.313,-0.145,-0.031,
35.868,0.074,0.133,0.008,
35.968,-0.004,-0.098,0.008,
36.069,0.066,0.102,0.008,
36.168,-0.156,-0.008,0.008,
36.268,0.152,0.070,-0.031,
36.368,0.227,0.109,-0.031,
36.467,0.273,-0.051,-0.031,
36.568,0.074,-0.090,-0.031,
36.668,-0.012,-0.098,0.008,
36.768,-0.047,-0.051,0.008,
36.867,0.066,0.109,0.008,
36.967,0.211,0.023,0.008,
37.066,0.250,-0.051,0.008,
37.167,-0.102,-0.008,-0.031,
37.266,-0.055,-0.051,-0.031,
37.366,0.121,-0.082,0.008,
37.466,0.082,-0.016,-0.031,
37.566,-0.109,-0.008,-0.031,
37.665,-0.109,-0.008,0.008,
37.766,-0.125,0.023,-0.016,
37.866,-0.086,0.023,0.031,
