t,AcX,AcY,AcZ,
0.624,0.445,-0.223,9.211,
0.723,0.398,-0.262,9.168,
0.824,0.430,-0.184,8.813,
0.923,-0.023,0.109,0.051,
1.024,0.000,0.336,0.488,
1.124,0.645,-0.523,1.215,
1.223,0.047,-0.004,1.590,
1.323,-0.078,-0.426,0.902,
1.423,0.020,-0.348,0.816,
1.523,0.066,0.359,-0.754,
1.623,0.320,0.605,-1.805,
1.722,0.488,0.609,-1.637,
1.822,0.129,-0.020,-1.391,
1.923,0.051,0.059,-0.449,
2.022,-0.539,-0.063,-0.434,
2.121,-0.539,-0.215,-0.141,
2.222,-1.805,-0.262,0.199,
2.321,-2.082,-0.105,-0.293,
2.421,-0.500,0.195,-0.906,
2.521,0.387,0.164,-0.156,
2.621,0.566,-0.004,-0.031,
2.720,0.391,0.387,0.672,
2.821,0.531,1.070,1.004,
2.920,1.906,-0.164,-0.359,
3.020,1.477,-0.223,-0.121,
3.121,0.367,0.020,-0.113,
3.221,0.082,0.035,-0.047,
3.319,0.492,0.328,-1.242,
3.420,1.109,0.238,-3.754,
3.519,0.285,-0.023,-2.352,
3.619,-1.500,0.176,2.613,
3.720,-1.242,-0.367,2.262,
3.819,-0.516,-0.176,0.598,
3.919,-0.336,-0.320,0.152,
4.019,0.164,0.004,1.371,
4.118,0.074,-0.309,0.023,
4.219,0.148,0.051,-0.422,
4.318,0.125,0.125,-0.430,
4.419,0.633,-0.152,0.293,
4.518,2.574,-0.969,0.652,
4.619,1.891,-0.805,-0.605,
4.718,0.051,0.434,-0.152,
4.817,-0.922,0.727,0.660,
4.918,-1.371,0.535,0.445,
5.018,-1.242,0.551,-0.199,
5.116,-1.453,0.566,-0.047,
5.217,-1.121,0.352,-0.094,
5.317,-0.793,0.383,-0.207,
5.416,-0.016,-0.047,-0.055,
5.517,-0.023,0.090,0.023,
5.616,0.234,0.227,-0.160,
5.716,0.215,0.086,-0.230,
5.816,0.090,-0.840,-0.016,
5.916,-0.094,0.438,-0.152,
6.016,0.863,0.652,-0.137,
6.116,-0.309,0.285,0.059,
6.215,-0.379,0.645,0.336,
6.316,-0.480,0.262,-0.098,
6.416,0.078,0.090,0.539,
6.515,0.184,-0.207,-0.043,
6.616,0.145,-0.039,0.203,
6.715,0.059,-0.031,0.012,
6.814,0.266,-0.219,0.109,
6.915,0.094,-0.012,-0.012,
7.015,0.359,-0.156,0.008,
7.114,0.164,-0.125,0.000,
7.215,0.164,-0.141,0.039,
7.314,0.188,-0.125,0.016,
7.414,0.160,-0.129,0.008,
7.514,0.168,-0.152,0.008,
7.614,0.059,-0.105,0.000,
7.713,0.223,-0.121,-0.016,
7.814,0.031,-0.113,-0.016,
7.913,0.199,-0.098,-0.031,
8.013,-0.031,-0.098,0.016,
8.113,0.125,-0.051,-0.023,
8.213,0.047,-0.109,0.008,
8.312,0.031,-0.117,0.008,
8.412,-0.078,-0.039,0.008,
8.513,-0.008,-0.016,0.008,
8.612,-0.059,-0.008,0.000,
8.712,-0.020,0.008,0.000,
8.812,-0.004,0.008,0.008,
8.911,-0.004,-0.016,0.000,
9.012,0.020,-0.016,-0.031,
9.111,-0.020,0.000,0.008,
9.211,0.012,0.016,0.016,
9.312,0.012,-0.016,0.008,
9.410,0.004,-0.016,0.008,
9.510,0.012,-0.008,0.000,
9.611,-0.020,-0.016,-0.008,
9.711,-0.004,0.031,-0.008,
9.810,-0.004,-0.016,0.000,
9.911,0.020,0.031,0.000,
10.010,0.020,-0.016,0.000,
10.109,0.012,-0.023,0.000,
10.210,0.012,0.016,0.000,
10.309,0.020,-0.016,0.000,
10.409,0.035,-0.016,0.000,
10.509,-0.004,-0.016,-0.008,
10.609,-0.027,0.023,0.000,
10.710,0.012,0.008,0.000,
10.809,-0.012,0.016,0.000,
10.908,-0.004,0.008,-0.008,
11.009,-0.004,0.008,-0.008,
11.109,-0.035,-0.023,0.000,
11.208,0.020,-0.031,0.000,
11.309,0.059,-0.023,-0.008,
11.408,-0.012,0.016,-0.008,
11.507,-0.020,0.016,-0.008,
11.608,-0.020,0.016,0.000,
11.708,0.043,0.000,0.000,
11.807,0.004,0.008,0.000,
11.907,0.020,-0.016,0.000,
12.007,-0.012,-0.008,0.039,
