t,AcX,AcY,AcZ,
3.095,-0.004,-0.004,0.000,
3.196,-0.004,-0.004,0.000,
3.295,-0.039,-0.004,0.000,
3.394,0.012,0.004,0.000,
3.495,0.012,0.004,0.000,
3.595,-0.004,0.004,0.000,
3.695,-0.004,-0.004,0.000,
3.795,-0.039,-0.004,0.000,
3.895,-0.023,-0.004,-0.039,
3.994,0.020,0.004,-0.031,
4.094,-0.016,0.004,0.016,
4.193,0.020,0.012,0.016,
4.293,0.020,0.012,0.016,
4.395,-0.023,0.004,0.008,
4.493,-0.008,0.004,0.008,
4.593,0.027,0.004,0.008,
4.694,0.012,-0.004,0.008,
4.793,0.012,-0.004,0.000,
4.892,0.004,0.004,0.000,
4.993,-0.031,0.004,0.000,
5.094,0.004,0.004,0.000,
5.191,-0.023,0.004,0.000,
5.292,-0.023,0.004,0.000,
5.391,0.012,0.004,0.000,
5.492,0.012,0.004,0.000,
5.592,-0.023,0.004,0.000,
5.692,-0.016,0.004,0.000,
5.792,-0.016,0.012,0.000,
5.892,0.020,0.012,0.000,
5.991,0.012,0.012,0.000,
6.092,0.004,0.004,0.000,
6.191,-0.031,0.004,0.000,
6.290,-0.016,0.004,0.000,
6.391,-0.016,0.004,0.000,
6.490,0.027,0.004,0.000,
6.590,0.012,0.004,0.000,
6.690,-0.023,0.004,-0.039,
6.790,0.012,0.004,0.008,
6.890,-0.023,0.004,0.008,
6.990,0.012,0.004,0.008,
7.090,0.004,0.004,0.000,
7.189,0.004,0.004,0.000,
7.290,0.004,0.004,-0.039,
7.389,-0.004,0.004,0.008,
7.489,-0.004,0.004,0.008,
7.590,-0.004,0.004,0.008,
7.688,-0.039,0.004,0.000,
7.788,-0.023,0.004,0.000,
7.889,-0.023,0.004,0.000,
7.988,0.012,0.004,0.000,
8.088,-0.023,0.004,0.000,
8.188,-0.023,0.004,-0.039,
8.288,-0.016,0.004,0.008,
8.387,0.020,0.004,0.016,
8.488,-0.016,0.004,0.016,
8.587,-0.008,0.004,0.016,
8.687,0.027,0.004,0.008,
8.788,0.020,0.004,0.008,
8.886,0.012,0.004,0.000,
8.986,0.004,0.004,0.000,
9.087,-0.031,0.004,0.000,
9.186,-0.031,0.004,0.000,
9.285,-0.023,0.004,0.000,
9.386,0.020,0.004,0.000,
9.486,-0.016,0.004,0.000,
9.585,0.020,0.004,0.000,
9.685,0.020,0.004,0.000,
9.785,0.012,0.004,0.000,
9.885,-0.031,0.004,0.000,
9.986,-0.023,0.004,0.000,
10.084,-0.023,0.004,0.000,
10.184,0.012,0.004,0.000,
