t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
0.398,-0.0313,-0.0039,-0.0273,3,0.1721,0.9009,0.1644,-0.3629,1,0.6755,
0.408,-0.0977,-0.0078,-0.0195,3,0.1721,0.9009,0.1644,-0.3629,1,0.6755,
0.419,-0.0977,-0.0078,-0.0195,3,0.1726,0.9009,0.1639,-0.3629,1,0.5847,
0.431,-0.0977,-0.0078,-0.0195,3,0.1728,0.9009,0.1636,-0.3630,1,0.5417,
0.441,-0.0977,-0.0078,-0.0195,3,0.1730,0.9009,0.1636,-0.3629,1,0.5417,
0.452,-0.0977,-0.0078,-0.0195,3,0.1734,0.9008,0.1637,-0.3629,1,0.5417,
0.462,-0.0195,-0.0039,0.1719,3,0.1734,0.9008,0.1637,-0.3629,1,0.5417,
0.475,0.0664,-0.0273,0.1289,3,0.1734,0.9008,0.1637,-0.3629,1,0.5417,
0.485,0.0664,-0.0273,0.1289,3,0.1746,0.9006,0.1641,-0.3625,2,0.4873,
0.496,0.0664,-0.0273,0.1289,3,0.1747,0.9006,0.1640,-0.3625,2,0.4607,
0.506,0.0664,-0.0273,0.1289,3,0.1749,0.9006,0.1639,-0.3624,2,0.4395,
0.518,0.0664,-0.0273,0.1289,3,0.1750,0.9006,0.1640,-0.3624,2,0.4299,
0.529,-0.0430,-0.0117,-0.0977,3,0.1750,0.9006,0.1640,-0.3624,2,0.4299,
0.540,-0.0430,-0.0117,-0.0977,3,0.1752,0.9006,0.1642,-0.3624,2,0.4299,
0.550,-0.0430,-0.0117,-0.0977,3,0.1752,0.9005,0.1641,-0.3625,2,0.4299,
0.561,-0.0430,-0.0117,-0.0977,3,0.1750,0.9006,0.1633,-0.3629,2,0.4114,
0.573,-0.0430,-0.0117,-0.0977,3,0.1748,0.9006,0.1628,-0.3630,2,0.3950,
0.583,0.0430,-0.0352,-0.0273,3,0.1748,0.9006,0.1628,-0.3630,2,0.3950,
0.594,0.0430,-0.0195,-0.0273,3,0.1748,0.9006,0.1628,-0.3630,2,0.3950,
0.606,0.0430,-0.0195,-0.0273,3,0.1745,0.9008,0.1631,-0.3627,2,0.3953,
0.616,0.0430,-0.0195,-0.0273,3,0.1744,0.9008,0.1633,-0.3625,2,0.3953,
0.628,0.0430,-0.0195,-0.0273,3,0.1743,0.9009,0.1636,-0.3624,2,0.3953,
0.640,0.0508,0.0234,0.1445,3,0.1743,0.9009,0.1636,-0.3624,2,0.3953,
