t,linAccelX,linAccelY,linAccelZ,linAccelAccuracy,quatReal,quatI,quatJ,quatK,quatRadianAccuracy,quatAccuracy
0.355,0.0352,0.0039,-0.0391,3,0.8380,0.4098,0.0994,-0.3464,0,3.1416,
0.366,-0.0508,0.0430,-0.0859,3,0.8380,0.4098,0.0994,-0.3464,0,3.1416,
0.376,-0.0508,0.0430,-0.0859,3,0.8375,0.4105,0.0995,-0.3466,2,0.3213,
0.388,-0.0508,0.0430,-0.0859,3,0.8374,0.4106,0.0995,-0.3467,2,0.2798,
0.399,-0.0508,0.0430,-0.0859,3,0.8373,0.4108,0.0996,-0.3468,2,0.2512,
0.410,0.0313,-0.1406,-0.1445,3,0.8373,0.4108,0.0996,-0.3468,2,0.2512,
0.421,0.0313,-0.1406,-0.1445,3,0.8370,0.4110,0.0997,-0.3472,2,0.2065,
0.433,0.0313,-0.1406,-0.1445,3,0.8369,0.4111,0.0997,-0.3473,2,0.1946,
0.443,0.0039,0.0703,-0.0313,3,0.8369,0.4111,0.0997,-0.3473,2,0.1946,
0.454,-0.0586,0.0195,-0.0352,3,0.8369,0.4111,0.0997,-0.3473,2,0.1946,
0.465,-0.0586,0.0195,-0.0352,3,0.8365,0.4115,0.0997,-0.3478,2,0.1646,
0.476,-0.0586,0.0195,-0.0352,3,0.8363,0.4117,0.0997,-0.3480,2,0.1582,
0.487,-0.0586,0.0195,-0.0352,3,0.8362,0.4118,0.0996,-0.3482,2,0.1526,
0.498,-0.0586,0.0195,-0.0352,3,0.8361,0.4119,0.0995,-0.3484,2,0.1477,
0.509,0.0586,-0.0117,-0.0273,3,0.8361,0.4119,0.0995,-0.3484,2,0.1477,
0.521,0.0586,-0.0117,-0.0273,3,0.8360,0.4117,0.0995,-0.3489,3,0.1370,
0.531,0.0586,-0.0117,-0.0273,3,0.8359,0.4117,0.0995,-0.3491,3,0.1335,
0.542,0.0586,-0.0117,-0.0273,3,0.8358,0.4119,0.0995,-0.3492,3,0.1301,
0.552,-0.0625,0.0977,0.0391,3,0.8358,0.4119,0.0995,-0.3492,3,0.1301,
0.563,-0.0547,0.1406,-0.0625,3,0.8358,0.4119,0.0995,-0.3492,3,0.1301,
0.574,-0.0938,0.1797,-0.0039,3,0.8358,0.4119,0.0995,-0.3492,3,0.1301,
0.585,-0.0938,0.1797,-0.0039,3,0.8351,0.4128,0.0992,-0.3497,3,0.1177,
